DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
02000500-01,2010,-2.263026123,0.698340716,0.493333333,0.247082982,0,0,0,14,0,0,1,0,0,0,0,6,5,2,1,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,14,14,4,2.857142857,D,George Watch Lake-1,38,,,0,0,168600,180000,0,0,0,0,2,0,0,,,584,2961,0,0
02000500-01,2011,-2.232390689,0.412846434,0.973333333,0.295737394,0,3,1,9,1,0,1,0,0,0,0,5,6,3,0,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,14,14,3.571428571,2.857142857,D,George Watch Lake-1,38,24.15026316,13.49798133,0,0,166100,172700,0,0,0,0,2,0,0,,,260,2877,0,0
02000500-01,2012,-1.453797857,0.490900997,0.359,0.235440486,0,0,0,11,1,1,0,0,0,0,0,1,2,6,3,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,12,12,4.083333333,3.916666667,F,George Watch Lake-1,36,24.98138889,13.93609213,0,0,161350,107700,0,0,0,0,2,0,0,,,173,2901,0,0
02000500-01,2013,-1.605020069,0.898433834,0.365,0.372491611,0,0,1,5,1,1,0,0,0,0,0,3,0,0,3,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,7,6,4,3.5,F,George Watch Lake-1,36,24.98138889,13.93609213,0,0,156700,100200,0,0,0,0,2,0,0,,,173,3044,0,0
02000500-01,2014,-2.283427334,0.398698317,0.716666667,0.25811819,0,0,3,6,0,0,0,0,0,0,0,5,3,0,1,George Watch Lake,Mississippi River - Twin Cities,-93.08905468,45.17640481,9,9,3.666666667,2.666666667,F,George Watch Lake-1,36,24.98138889,13.93609213,0,0,156550,100200,0,0,0,0,2,0,0,,,173,2949,0,0
02000600-01,2004,-3.156066299,0.67159705,1.107692308,0.564891639,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Centerville Lake,Mississippi River - Twin Cities,-93.07493329,45.16261181,0,0,,,C,Centerville Lake-1,339,2.591415929,7.631624316,0,0,189118,201602,0,0,0,0,160,0,0,151538.5,183284.75,1991,1923,12,0
02000600-01,2009,-3.119297174,0.136405991,1.9,0.707106781,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,Centerville Lake,Mississippi River - Twin Cities,-93.07493329,45.16261181,2,2,2,2.5,F,Centerville Lake-1,385,2.207272727,7.130753824,0,0,196300,297050,1022,1496,0,0,176,0,2,225500,276349,3378,2768.25,2,0
02000900-01,2006,-2.290534623,0.293372223,0.653846154,0.284650033,6,5,1,0,0,0,1,0,0,0,1,7,3,1,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,12,12,1.583333333,2.333333333,D,Reshanau Lake-1,775,0.884116129,2.130723564,0,0,296100,165400,1418,1060,0,0,599,0,0,296000,167000,3839,2194,34,0
02000900-01,2007,-2.456144284,0.509887996,0.622222222,0.216666667,2,7,0,0,0,0,1,0,0,0,0,8,1,0,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,9,9,1.777777778,2.111111111,D,Reshanau Lake-1,777,0.882947233,2.12837402,0,0,291700,166850,1404,1058.5,0,0,603,0,0,310000,170100,3905,2098,22,0
02000900-01,2008,-2.804439781,0.461651214,0.45,0.244948974,2,0,5,0,0,0,1,0,0,0,2,3,2,0,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,7,7,2.428571429,2,D,Reshanau Lake-1,812,0.855,2.47624609,0,0,288850,157500,1404,1043,0,0,638,0,0,299450,179000,3891,2029,12,0
02000900-01,2009,-2.587090047,0.283676547,0.448888889,0.091984298,0,4,1,4,0,0,1,0,0,0,0,3,1,2,3,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,9,9,3,3.555555556,D,Reshanau Lake-1,812,0.855,2.47624609,0,0,275700,162900,1404,1043,0,0,634,0,0,290000,172525,3807,2050,10,0
02000900-01,2010,-2.786235191,0.707754574,0.943636364,0.502539008,1,2,6,2,0,0,1,0,0,0,1,3,3,4,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,11,11,2.818181818,2.909090909,D,Reshanau Lake-1,812,,,0,0,247650,159100,1404,1042,0,0,634,0,0,288250,172600,3867,2220.5,12,0
02000900-01,2011,-2.563273505,0.533770425,0.603,0.21878706,1,5,2,2,0,0,1,0,0,0,1,7,0,1,1,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,10,10,2.5,2.4,D,Reshanau Lake-1,812,0.854027094,2.474029828,0,0,235400,153600,1404,1046,0,0,634,0,0,286250,177000,3938,2341,12,0
02000900-01,2012,-2.090515298,0.701842138,0.4,0.133333333,0,8,1,1,0,0,1,0,0,0,0,5,4,0,1,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,10,10,2.3,2.7,D,Reshanau Lake-1,814,0.850491401,2.505783766,0,0,224900,141800,1398,1047,0,0,632,0,0,289750,174500,3770,2447.5,16,0
02000900-01,2013,-2.385002498,0.827405847,0.8,0.81291656,2,1,2,2,0,0,1,0,0,0,2,0,3,1,1,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,7,7,2.571428571,2.857142857,D,Reshanau Lake-1,814,0.850491401,2.505783766,0,0,221200,160800,1392,1047,0,0,628,0,0,293000,174100,3806,2412.5,24,0
02000900-01,2014,-2.577108511,0.018609147,1.1,0.141421356,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,2,2,1.5,2.5,F,Reshanau Lake-1,810,0.854716049,2.511306198,0,0,251000,168375,1398,1045.5,0,0,624,0,0,294900,174850,3602,2653,16,0
02001300-01,2011,-2.40077505,0.124648248,,,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,Baldwin Lake,Mississippi River - Twin Cities,-93.13615239,45.13869563,2,2,4,2.5,F,Baldwin Lake-1,264,1.825265152,5.558002411,0,0,208200,132675,1440,689.5,0,0,190,0,8,193355,149000,3368.5,2578,6,0
02002200-01,2004,-3.46212334,0.37723708,1.761428571,0.26792241,1,1,0,0,0,0,0,0,1,0,3,11,0,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,2,14,1.5,1.785714286,B,Island Lake-1,46,8.803913044,6.563769743,0,0,64000,220646,0,0,0,0,18,0,0,130900,219901.5,1579,1661,2,0
02002200-01,2005,-3.380065825,0.541327304,1.689285714,0.405812846,7,1,2,0,0,0,0,1,0,0,0,14,0,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,10,14,1.5,2,C,Island Lake-1,46,8.803913044,6.563769743,0,0,64000,225600,0,1336,0,0,18,0,0,315868,128064,,,0,0
02002200-01,2006,-3.224302434,0.498268854,1.492307692,0.400960386,6,6,1,0,0,0,0,1,0,0,2,10,2,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,13,14,1.615384615,2,C,Island Lake-1,48,8.445833333,6.652937868,0,0,66550,261625,0,1308,0,0,16,0,0,315868,128064,1837.5,1613.5,0,0
02002200-01,2007,-3.686099136,0.27979131,1.576923077,0.38112519,6,6,0,0,0,0,0,0,1,0,0,8,5,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,12,13,1.5,2.384615385,B,Island Lake-1,48,8.44375,6.651881073,0,0,77800,253250,0,1308,0,0,18,0,0,364865,30070,2030,1737.25,2,0
02002200-01,2008,-3.732137846,0.653613662,1.380769231,0.51540375,0,5,2,0,0,0,0,0,1,0,0,7,6,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,7,13,2.285714286,2.461538462,B,Island Lake-1,35,8.610857143,7.138280964,0,0,204300,222900,900,1336,0,0,16,0,0,240000,0,2006,2209,2,0
02002200-01,2009,-3.641077109,0.259465443,1.176923077,0.261896437,0,10,2,0,0,0,0,1,0,0,0,10,4,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,12,14,2.166666667,2.285714286,C,Island Lake-1,35,8.616,7.138381016,0,0,199800,212000,900,1336,0,0,16,0,0,205000,0,1975,2167,2,0
02002200-01,2010,-3.51547167,0.450783676,1.707142857,0.299908411,2,1,0,0,0,0,0,1,0,0,2,11,0,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,3,13,1.333333333,1.846153846,C,Island Lake-1,36,,,0,0,142000,171700,450,1336,0,0,16,0,0,205000,0,1965,2135,0,0
02002200-01,2011,-3.28874332,0.420634235,1.371428571,0.189852459,9,0,0,0,0,0,0,1,0,0,9,5,0,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,9,14,1,1.357142857,C,Island Lake-1,36,8.149444444,7.10083695,0,0,132900,161200,450,1336,0,0,14,0,0,172250,65500,1905,1982,2,0
02002200-01,2012,-3.346247902,0.530686154,1.335714286,0.220513885,12,1,0,0,0,0,0,0,1,0,9,4,1,0,0,Island Lake,Lower St. Croix River,-93.09488494,45.36691861,13,14,1.076923077,1.428571429,B,Island Lake-1,38,8.261578947,7.183196054,0,0,96100,161700,0,1336,0,0,14,0,0,172250,65500,1869,1970,0,0
02002600-01,2008,-3.153484352,0.340729132,0.95,0.363212165,2,4,2,0,0,0,0,1,0,0,0,6,6,2,0,Linwood Lake,Lower St. Croix River,-93.11468391,45.35143539,8,14,2,2.714285714,C,Linwood Lake-1,381,2.434041995,7.348312011,0,0,225100,246500,966,1615,0,0,181,0,0,180000,245000,1877,2033,8,0
02003400-01,2005,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Martin Lake,Lower St. Croix River,-93.0833978,45.38581642,0,0,,,D,Martin Lake-1,921,0.722078346,1.612061405,0,0,140900,221600,760,1168,0,0,478,0,0,143000,127000,,,0,0
02003400-01,2007,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Martin Lake,Lower St. Croix River,-93.0833978,45.38581642,0,0,,,D,Martin Lake-1,902,0.734412417,1.617644057,0,0,177700,256900,796,1200,0,0,480,0,0,154550,116000,1282,1769,18,4
02003400-01,2008,-2.425761723,0.571000201,0.607142857,0.220014985,2,3,2,1,0,0,1,0,0,0,0,5,3,5,1,Martin Lake,Lower St. Croix River,-93.0833978,45.38581642,8,14,2.25,3.142857143,D,Martin Lake-1,847,0.779527745,1.894095844,0,0,177100,230800,812,1217,0,0,456,0,0,152000,115725,1515,2019,12,0
02004200-01,2009,-3.174221628,0.105187862,1,0.282842713,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Coon Lake,Lower St. Croix River,-93.13714784,45.31767312,2,2,3,3.5,F,Coon Lake-1,2363,1.010830157,3.098622122,0,0,166300,244100,948,1280,0,0,1290,0,0,163333,190000,1700,2552.5,52,0
02004500-01,2004,-2.44657591,0.431688551,1.11,0.435762423,5,3,0,0,0,0,1,0,0,0,4,2,1,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,8,7,1.375,1.571428571,D,Golden Lake-1,834,0.503393285,1.258287054,0,0,208827,77688.75,0,0,0,0,674,0,0,180000,63812.5,2078,940,26,0
02004500-01,2005,-2.85403431,0.509055122,1.818181818,0.891984509,5,5,0,0,0,0,0,1,0,0,4,3,3,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,10,10,1.5,1.9,C,Golden Lake-1,834,0.503393285,1.258287054,0,0,225800,86350,1248,461.75,0,0,678,0,0,197141.5,54371.75,,,0,0
02004500-01,2006,-2.396616518,0.610038705,1.390909091,0.385887407,5,6,0,0,0,0,0,1,0,0,5,5,1,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,11,11,1.545454546,1.636363636,C,Golden Lake-1,832,0.498257212,1.22634507,0,0,246400,117100,1231,421,0,0,676,0,0,198597.5,55407.25,3070,1236,26,0
02004500-01,2007,-3.027132757,0.461728091,1.35,0.452769257,4,6,0,0,0,0,0,1,0,0,5,3,2,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,10,10,1.6,1.7,C,Golden Lake-1,834,0.490132212,1.214157602,0,0,241600,105400,1232,429.75,0,0,662,0,0,199500,63060.25,3192.5,1446.25,27,0
02004500-01,2008,-2.965298502,0.273883691,1.688888889,0.314024061,3,6,0,0,0,0,0,1,0,0,3,6,0,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,9,9,1.666666667,1.666666667,C,Golden Lake-1,811,0.512194821,1.452818756,0,0,234400,108700,1226,433,0,0,652,0,0,194454.5,63000,3204,1387,18,0
02004500-01,2009,-3.109458792,0.399175535,2.069230769,0.560334149,5,8,0,0,0,0,0,1,0,0,5,6,2,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,13,13,1.615384615,1.769230769,C,Golden Lake-1,811,0.512194821,1.452818756,0,0,222700,116800,1256,461,0,0,654,0,0,193009,63651,3118,1561,18,0
02004500-01,2010,-2.934695219,0.448078964,1.391666667,0.674817596,3,9,0,0,0,0,0,1,0,0,0,8,4,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,12,12,1.75,2.333333333,C,Golden Lake-1,809,,,0,0,209700,115450,1256,461,0,0,654,0,0,193004.5,67000,3211,1967,14,0
02007900-01,2004,-1.538191796,0.286808479,0.403571429,0.131125726,0,0,0,0,2,1,0,0,0,0,0,4,6,3,0,Highland Lake,Mississippi River - Twin Cities,-93.23309565,45.05890169,2,13,5,2.923076923,F,Highland Lake-1,714,0.303305322,0.570988414,0,0,206753,100272.75,0,0,0,0,682,0,0,163900,62612.5,1981.5,952,34,0
02007900-01,2005,-1.422856025,0.486439402,0.357142857,0.135670901,0,3,1,5,1,1,0,0,0,0,0,2,8,4,0,Highland Lake,Mississippi River - Twin Cities,-93.23309565,45.05890169,10,14,3.4,3.142857143,F,Highland Lake-1,714,0.303305322,0.570988414,0,0,231300,104150,1323,481.5,0,0,678,0,0,195000,90400,,,0,0
02007900-01,2006,-1.289872853,0.438066136,0.271428571,0.105090228,0,3,0,10,0,1,0,0,0,0,0,0,6,8,0,Highland Lake,Mississippi River - Twin Cities,-93.23309565,45.05890169,13,14,3.538461539,3.571428571,F,Highland Lake-1,714,0.303305322,0.570988414,0,0,237500,88525,1323,497,0,0,680,0,0,208250,92575,2589,1218.75,22,0
02007900-01,2007,-1.187915936,0.442135751,0.291666667,0.092523543,0,1,0,2,9,1,0,0,0,0,0,0,2,10,0,Highland Lake,Mississippi River - Twin Cities,-93.23309565,45.05890169,12,12,4.583333333,3.833333333,F,Highland Lake-1,714,0.303501401,0.571014508,0,0,244800,123600,1323,497.5,0,0,670,0,0,213500,88450,2446,960,16,0
02008100-01,2004,-2.115510148,0.371684771,0.583333333,0.172240142,0,0,0,6,0,0,0,0,0,0,0,0,1,5,0,Hart Lake,Mississippi River - Twin Cities,-93.23223722,45.03684683,6,6,4,3.833333333,F,Hart Lake-1,600,0.373005465,0.882363101,0,0,164216,28809,0,0,0,2,529,2,0,138900,74500,1583,598,21,0
02008100-01,2005,-1.65314435,0.22967457,0.425,0.125830574,0,0,0,4,0,1,0,0,0,0,0,0,1,3,0,Hart Lake,Mississippi River - Twin Cities,-93.23223722,45.03684683,4,4,4,3.75,F,Hart Lake-1,600,0.373005465,0.882363101,0,0,172600,31400,943,1158,0,0,516,0,2,144400,98000,2091,466,8,0
02008100-01,2006,-1.914406634,0.229207259,0.45,0.215472902,0,0,0,8,0,1,0,0,0,0,0,1,2,5,0,Hart Lake,Mississippi River - Twin Cities,-93.23223722,45.03684683,8,8,4,3.5,F,Hart Lake-1,606,0.373005465,0.882363101,0,0,190100,33450,938,1152,0,0,504,0,2,155000,107900,2086,566,36,0
02009100-01,2009,-3.848959169,0.463666718,3.13125,0.713413158,14,1,0,0,0,0,0,0,1,0,11,4,1,0,0,George Lake,Rum River,-93.33581685,45.3571637,15,16,1.066666667,1.375,B,George Lake-1,106,0.881981132,0.865823494,0,0,35200,219950,0,960,0,0,29,0,0,173000,250000,2417,1403,0,0
02013000-01,2010,-4.088668415,0.28013187,1.2,,4,0,1,1,0,0,0,0,0,0,5,1,0,0,0,Pickerel Lake,Rum River,-93.44717428,45.33765804,6,6,1.833333333,1.166666667,F,Pickerel Lake-1,67,,,0,0,243400,238600,1224,1776,0,0,37,0,0,85000,196259.5,2235,3572.5,2,0
02013000-01,2011,-3.454727286,0.171918849,1.222,0.220839308,0,0,4,3,0,0,0,0,1,0,0,2,2,3,0,Pickerel Lake,Rum River,-93.44717428,45.33765804,7,7,3.428571429,3.142857143,B,Pickerel Lake-1,67,10.91597015,11.28251195,0,0,237300,233000,1224,1776,0,0,37,0,0,159500,187000,2203,3496,2,0
02013300-01,2009,-2.470548923,1.384529277,4.066666667,1.00166528,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,East Twin Lake,Rum River,-93.50291903,45.33357062,3,3,1,1.333333333,F,East Twin Lake-1,85,3.351058824,6.366079945,0,0,243400,222000,1062,1535,0,0,43,0,0,55000,310642,2732,2299.75,0,0
02013300-01,2010,-3.034765124,1.291947189,4.125,0.34604913,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,East Twin Lake,Rum River,-93.50291903,45.33357062,6,6,1,1,F,East Twin Lake-1,83,,,0,0,207600,206000,1062,1556,0,0,43,0,0,182000,310642,2870.5,2356.5,2,0
02058500-01,2007,-3.817537485,0.332794191,2.530769231,0.363741244,0,0,0,11,0,0,0,0,0,1,0,10,2,0,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,11,12,4,2.166666667,A,Lochness Lake-1,30,10.01133333,11.46347956,0,0,331900,409900,1098,1469,0,0,18,0,0,1500000,0,3910,1240,2,0
02058500-01,2008,-3.682681308,0.448968437,2.590909091,0.369336014,0,0,0,11,0,0,0,0,1,0,0,7,4,0,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,11,11,4,2.363636364,B,Lochness Lake-1,30,10.96733333,13.09183239,0,0,321500,104900,1211,2318,0,0,20,0,0,962500,1075000,3984,1042,0,0
02058500-01,2009,-3.496131648,0.481457539,1.783333333,0.683019144,0,0,0,12,1,0,0,1,0,0,0,6,4,3,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,13,13,4.076923077,2.769230769,C,Lochness Lake-1,30,10.96733333,13.09183239,0,0,313000,129700,1256,2529,0,0,20,0,0,962500,1075000,3747,1188,0,0
02058500-01,2010,-3.589359839,0.32853759,2.8,0.529150262,0,0,0,10,0,0,0,0,1,0,0,8,2,0,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,10,10,4,2.2,B,Lochness Lake-1,30,,,0,0,272700,101400,1256,2529,0,0,20,0,0,425000,1193000,3879,1627,2,0
02058500-01,2011,-3.167682685,0.273998877,1.428571429,0.415187852,0,0,0,7,0,0,0,1,0,0,0,2,3,2,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,7,7,4,3,C,Lochness Lake-1,30,10.95666667,13.08256364,0,0,263400,98200,1256,2529,0,0,20,0,0,425000,1193000,3765,1457,0,0
02058500-01,2012,-2.976700585,0.79956542,1.6,0.286356421,0,0,0,11,0,0,0,1,0,0,0,4,4,3,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,11,11,4,2.909090909,C,Lochness Lake-1,30,10.96733333,13.09183239,0,0,251700,88300,1256,2529,0,0,20,0,0,425000,1193000,3703,1480,0,0
02058500-01,2013,-3.486558033,0.478671597,2.027777778,0.445190346,0,0,0,9,0,0,0,1,0,0,0,6,3,0,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,9,9,4,2.333333333,C,Lochness Lake-1,30,10.96733333,13.09183239,0,0,240100,94400,1256,2388,0,0,20,0,0,425000,1193000,3772,1461,0,0
02058500-01,2014,-2.931671674,0.416244004,0.91,0.179195734,0,0,0,10,0,0,0,1,0,0,0,4,5,1,0,Lochness Lake,Mississippi River - Twin Cities,-93.15409272,45.17252825,10,10,4,2.7,C,Lochness Lake-1,30,10.96733333,13.09183239,0,0,259300,106800,1256,2388,0,0,20,0,0,425000,1193000,3470.5,1460.75,0,0
02065400-01,2004,-4.011965365,0.377592483,2.415714286,0.567107564,4,0,0,0,0,0,0,0,0,1,5,9,0,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,4,14,1,1.642857143,A,Cenaiko Lake-1,1686,1.171971831,4.730446363,0,0,182350,93740.75,0,0,0,0,1411,0,0,139000,121685,1781,1299.75,49,0
02065400-01,2005,-4.349194686,0.235755638,2.692857143,0.786877261,7,2,0,0,0,0,0,0,0,1,1,13,0,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,9,14,1.222222222,1.928571429,A,Cenaiko Lake-1,1738,1.159701195,4.706787711,0,0,196600,100075,600,1162,0,0,1439,0,0,169900,140634,2631,1745,24,0
02065400-01,2006,-4.052973524,0.707518373,2.857142857,1.021849218,6,7,0,0,0,0,0,0,0,1,0,13,1,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,13,14,1.538461539,2.071428571,A,Cenaiko Lake-1,1744,1.161516966,4.709270142,0,0,213300,114200,621.5,1168,0,0,1413,0,0,188250,148362.75,2186.5,1577,64,0
02065400-01,2007,-4.25933238,0.371618756,2.25,0.582315129,12,0,0,0,0,0,0,0,0,1,4,8,0,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,12,12,1,1.666666667,A,Cenaiko Lake-1,1740,0.999931035,4.625859943,0,0,223900,126700,662.5,1176,0,0,1406,0,0,195500,148500,2357,1651.75,52,2
02065400-01,2008,-4.287763214,0.365127907,1.876923077,0.547956577,5,3,2,0,0,0,0,0,1,0,2,6,5,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,10,13,1.7,2.230769231,B,Cenaiko Lake-1,1893,1.02284205,4.736244102,0,0,219200,121200,912,1204,0,0,1530,0,0,190000,136008.25,2518,1717,50,0
02065400-01,2009,-4.074309429,0.754217306,1.954545455,0.636181792,13,0,0,0,0,0,0,0,1,0,6,6,1,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,13,13,1,1.615384615,B,Cenaiko Lake-1,1895,1.022955145,4.733876679,0,0,205500,132000,1040,1408,0,0,1544,0,0,188000,133000,2504,1864,48,0
